area,site_name,depth_stratum
0.03113,The Footprint,"(-100,0]"
1.229206,The Footprint,"(-200,-100]"
2.09917,The Footprint,"(-300,-200]"
2.777115,The Footprint,"(-400,-300]"
0.441063,Piggy Bank,"(-300,-200]"
1.734194,Piggy Bank,"(-400,-300]"

